Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss (Global),Balance (Global),Profit/Loss (Pips),Strategy name (Global)
1182,US100.pro,Buy,25.10.2024 13:45:28,20454.6,0.08,25.10.2024 19:22:00,20555,5h 36m,148.69,124501.92,1004000,nas100 sf
1154,US500.pro,Buy,25.10.2024 16:00:00,5890.5,0.09,25.10.2024 19:40:35,5849.5,3h 40m,-170.78,124331.14,-410000,us500 vf
838,GOLD.pro,Buy,25.10.2024 19:53:04,2743.37,0.18,28.10.2024 00:05:00,2736.51,2d 4h 11m,-114.35,124216.79,-68600,gold sf
1188,USDJPY.pro,Buy,25.10.2024 18:15:00,152.117,0.37,28.10.2024 04:12:17,153.532,2d 9h 57m,318.6,124535.39,141.5,usdjpy cf
1184,US100.pro,Buy,28.10.2024 02:05:51,20639.1,0.08,28.10.2024 14:42:03,20561.9,12h 36m,-114.19,124421.2,-772000,nas100 sf
2484,USDJPY.pro,Sell,28.10.2024 07:24:00,153.302,0.2,28.10.2024 21:00:00,153.234,13h 36m,8.21,124429.41,6.8,usdjpy pf
2486,USDJPY.pro,Sell,29.10.2024 06:24:00,152.811,0.3,29.10.2024 09:24:48,153.297,3h 0m,-87.95,124341.46,-48.6,usdjpy pf
618,DE30.pro,Buy,28.10.2024 15:55:12,19622.3,0.09,29.10.2024 14:11:38,19627.9,22h 16m,12.6,124354.06,56000,dax sf
1014,US100.pro,Buy,25.10.2024 10:00:00,20437.3,0.1,29.10.2024 14:33:29,20436.5,4d 4h 33m,-1.48,124352.58,-8000,nas100 cf
1190,USDJPY.pro,Buy,29.10.2024 09:45:00,153.396,0.41,30.10.2024 12:23:30,152.788,1d 2h 38m,-147.79,124204.79,-60.8,usdjpy cf
2488,USDJPY.pro,Sell,30.10.2024 09:18:00,153.078,0.39,30.10.2024 13:17:36,153.457,3h 59m,-89.08,124115.71,-37.9,usdjpy pf
1186,US100.pro,Buy,29.10.2024 17:00:24,20627.8,0.08,30.10.2024 13:53:31,20681,20h 53m,78.7,124194.41,532000,nas100 sf
1016,US100.pro,Buy,29.10.2024 20:15:00,20719.5,0.04,30.10.2024 14:40:51,20588.8,18h 25m,-96.57,124097.84,-1307000,nas100 cf
1111,GOLD.pro,Buy,29.10.2024 14:36:54,2757.78,0.107,30.10.2024 20:36:54,2785.76,1d 6h 0m,275.6,124373.44,279800,gold fv
1110,GOLD.pro,Buy,29.10.2024 14:36:54,2757.78,0.108,30.10.2024 20:36:54,2785.76,1d 6h 0m,278.17,124651.61,279800,gold fv
1192,USDJPY.pro,Buy,31.10.2024 02:00:00,153.53,0.67,31.10.2024 04:16:41,153.151,2h 16m,-152.78,124498.83,-37.9,usdjpy cf
1018,US100.pro,Sell,31.10.2024 01:00:00,20425.4,0.05,31.10.2024 12:00:32,20349,11h 0m,70.3,124569.13,764000,nas100 cf
1156,US500.pro,Sell,31.10.2024 14:31:06,5801.2,0.14,31.10.2024 20:00:52,5760.4,5h 29m,-1.29,124567.84,408000,us500 vf
1157,US500.pro,Sell,31.10.2024 16:00:00,5760.2,0.14,31.10.2024 20:49:08,5768.6,4h 49m,209.79,124777.63,-84000,us500 vf
2490,USDJPY.pro,Sell,31.10.2024 07:06:00,152.809,0.12,31.10.2024 21:00:00,151.938,13h 54m,63.24,124840.87,87.1,usdjpy pf
2492,USDJPY.pro,Buy,01.11.2024 06:24:00,152.593,0.22,01.11.2024 13:36:44,151.936,7h 12m,-87.28,124753.59,-65.7,usdjpy pf
1114,GOLD.pro,Buy,01.11.2024 13:30:02,2759.7,0.101,04.11.2024 00:05:02,2732.71,2d 10h 35m,-250.73,124502.86,-269900,gold fv
2494,USDJPY.pro,Buy,04.11.2024 07:36:00,151.999,0.26,04.11.2024 21:00:00,152.148,13h 24m,23.4,124526.26,14.9,usdjpy pf
